"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 17 15:56:58 UTC 2021","Wed Nov 17 15:56:58 UTC 2021","126","","","","","","events?type=registry",""
"passed","Wed Nov 17 15:56:58 UTC 2021","Wed Nov 17 15:56:58 UTC 2021","299","","","","","","?projectId=616d8d41abbd6ed8305526b2",""
